gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ABCF3,0.105639,1.11599,0.335418,0.953274,0.117926,1.11177,0.175456,1.09586
ABCG1,0.919939,1.00792,0.0580558,0.894231,0.569056,0.956227,0.698291,0.970016
ABCG2,0.852639,0.970396,0.00911411,1.38,0.584826,1.09254,0.687596,1.06726
ABCG4,0.219516,0.905277,0.300766,1.06376,0.995203,1.00048,0.654714,1.03667
ABCG5,0.0773727,0.867188,0.800501,0.985274,0.244129,0.911038,0.490309,0.946537
ABCG8,0.158796,0.876969,0.33432,1.06832,0.991553,1.00098,0.987838,0.998594
ABHD1,0.333158,0.91854,0.675338,0.973304,0.506087,0.943422,0.90407,0.989521
ABHD10,0.19872,1.19287,0.769869,1.02986,0.230665,1.17858,0.47259,1.10298
ABHD11,0.54994,0.952332,0.166049,1.08785,0.395895,1.07195,0.929197,1.00727
ABHD12,0.939519,1.01404,0.000209946,1.71308,0.541781,1.11882,0.85096,1.03512
ABHD12B,0.409639,0.946732,0.581743,0.973401,0.719764,1.02404,0.602927,0.966121
ABHD13,0.854336,0.981514,0.00302434,1.26158,0.310284,0.901569,0.463424,1.07756
ABHD14A-ACY1,0.679252,1.02612,4.80E-13,0.645388,0.420776,0.950917,0.268398,0.93297
ABHD14B,0.971347,0.997273,3.55E-13,0.583363,0.0538504,0.861362,0.9313,1.00657
ABHD15,0.44985,0.950035,7.16E-07,0.755584,0.198628,0.916078,0.294881,0.931245
ABHD16A,0.958674,0.994378,0.0133732,1.22729,0.136895,1.17773,0.751465,1.03508
ABHD16B,0.16584,0.88021,0.200479,0.916732,0.726616,0.96859,0.820835,0.979547
ABHD17A,0.0898834,0.807632,0.496853,0.939438,0.989,1.00171,0.274659,1.14624
ABHD17B,0.706465,0.966342,0.352237,0.939245,0.165171,0.880493,0.5408,1.05724
ABHD18,0.263811,1.16546,0.00638607,1.32913,0.606153,1.07284,0.270292,1.16303
ABHD2,0.476876,1.09242,0.00460353,1.30977,0.59067,1.06905,0.852321,1.02335
ABHD2,0.332801,0.923118,0.025532,0.870257,0.633068,0.961463,0.885368,1.01193
ABHD3,0.600451,1.05984,1.90E-05,1.46719,0.184051,1.16005,0.580508,1.06325
ABHD4,0.750633,1.03784,0.769152,0.974991,0.844266,0.977313,0.151883,0.844471
ABHD5,0.921795,0.989044,0.450335,1.06474,0.7796,0.969074,0.802945,0.972378
ABHD6,0.255251,1.13031,0.0113626,1.22925,0.0966569,1.1974,0.469846,0.925404
