gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ERCC1,0.981114,0.996629,0.000421819,0.673663,0.922483,0.986215,0.663847,0.939833
ERCC2,0.78631,0.982626,0.000119322,0.820665,0.487379,1.04602,0.345927,1.06309
ERCC3,0.0250278,1.1633,0.560475,1.02877,0.0538549,1.13804,0.0378716,1.14987
ERCC4,0.306012,1.09104,0.0141044,1.1713,0.453629,1.0657,0.0445839,1.18943
ERCC5,0.197188,1.13228,0.00598968,0.817684,0.498565,1.06696,0.652667,1.04399
ERCC6,0.405874,1.10908,0.750761,1.02956,0.794138,0.968115,0.784198,1.03459
ERCC6L,0.658282,0.964923,0.643555,0.972784,0.419241,1.06754,0.186392,1.11347
ERCC6L2,0.282841,1.18589,0.857563,0.979288,0.980577,0.996164,0.46301,1.12318
ERCC8,0.576811,1.04883,8.35E-05,0.765181,0.278115,0.911154,0.53721,1.05415
ERCC8,0.701969,0.975579,0.14747,0.932599,0.158996,1.09617,0.108232,0.900312
EREG,0.501942,0.826895,0.00121458,2.03543,0.434677,0.801456,0.908001,1.03318
ERF,0.0960396,0.865899,0.989728,1.00081,0.677762,1.03613,0.919022,0.99136
ERG,0.0780822,0.866061,0.59402,0.968807,0.677769,0.967122,0.53441,0.951192
ERGIC1,0.566772,1.05805,0.445018,1.05721,0.775596,1.02845,0.744102,1.03264
ERGIC2,0.376196,1.15117,0.894766,0.984635,0.276673,1.18934,0.603951,1.0858
ERGIC3,0.819317,1.02329,3.79E-11,0.539396,0.0139076,0.774661,0.577964,0.945393
ERH,0.744462,1.07074,0.211755,0.82302,0.914966,0.977867,0.689336,1.08747
ERI1,0.570828,1.07313,0.0034895,1.32271,0.544421,1.07842,0.948471,1.00807
ERI2,0.733674,0.97608,0.0140653,1.14207,0.126727,1.11611,0.725186,0.975295
ERI3,0.813252,1.02962,0.000630037,0.718684,0.475315,0.915407,0.775382,0.965358
ERICH1,0.759021,0.966625,0.450776,1.06372,0.781028,1.03123,0.7117,1.04175
ERICH1-AS1,0.0449273,0.847625,0.0393701,0.881986,0.387686,0.932317,0.290044,0.9176
ERICH3,0.156429,0.902988,0.233803,0.938817,0.894508,0.990588,0.208445,0.913579
ERICH5,0.173502,0.902292,0.8057,1.0137,0.367952,0.93457,0.204623,1.10044
ERICH6,0.113874,0.901852,0.888899,1.00668,0.29824,0.934727,0.316547,0.937097
ERICH6B,0.379111,1.04827,0.469016,1.02904,0.0603946,1.1074,0.226088,1.06727
ERLEC1,0.144,1.17962,0.551187,0.95186,0.91643,0.988327,0.557792,1.0679
ERLIN1,0.529365,1.11316,0.000219678,1.64333,0.0253807,1.47651,0.803365,1.04328
ERLIN2,0.238474,1.09335,2.89E-06,1.3364,0.0740466,1.14618,0.329807,1.0764
ERMAP,0.122929,0.925678,0.285117,1.04007,0.662558,0.978616,0.601059,0.974422
ERN1,0.90491,0.984926,0.045677,0.825862,0.224848,0.856059,0.520866,0.92147
ERN2,0.169006,0.873222,0.679294,1.03029,0.802147,0.975819,0.336715,0.910062
ERO1A,0.262164,1.08828,2.39E-05,1.29147,0.406519,1.06444,0.655302,1.03408
ERO1B,0.533354,1.11875,0.0051671,1.47091,0.350419,0.844837,0.508944,1.12638
ERP27,0.215034,1.15511,3.75E-06,0.644751,0.503868,1.0804,0.0832542,1.22494
ERP29,0.282938,0.860189,0.0690574,0.826696,0.743716,0.955401,0.585001,0.926559
ERP44,0.720288,1.04168,0.0378685,1.19539,0.461426,1.0878,0.642096,1.05445
ERRFI1,0.588683,0.948207,0.0129407,1.20419,0.724493,0.965957,0.677233,1.04176
ERV3-1,0.155827,1.46652,0.00524298,1.77234,0.262104,1.35179,0.543149,1.17673
ERVFRD-1,0.172755,0.879473,0.675198,0.9715,0.656332,0.959272,0.315885,1.09865
ERVFRD-2,0.470103,0.944419,0.21943,1.07482,0.421478,1.06575,0.41896,1.06612
ERVH-4,0.25453,0.784079,0.622736,1.08023,0.902919,1.02622,0.372423,0.827001
ERVH-6,0.556738,0.91226,0.400197,1.10214,0.475292,0.894367,0.587976,0.918849
ERVK-7,0.907005,0.971546,0.549385,1.11566,0.799577,1.06477,0.918581,0.975057
ERVK3-1,0.989648,1.00145,0.0353967,0.837142,0.878599,1.01725,0.49144,1.08027
ERVK3-2,0.338228,0.881297,0.598887,1.05243,0.854625,0.976216,0.807382,1.03255
ERVMER34-1,0.387497,0.91031,0.805444,0.980478,0.550176,0.937208,0.228518,0.876873
ERVV-1,0.00383094,0.783919,0.0247558,0.87169,0.0834374,0.867685,0.0103297,0.807347
ERVW-1,0.621699,1.07249,0.112314,1.18316,0.244366,1.18058,0.201738,1.19996
ESAM,0.216486,0.820491,0.109152,0.826654,0.424711,0.880523,0.15794,0.797272
ESCO1,0.645242,1.05444,0.784901,0.977071,0.943338,0.991857,0.928199,1.01042
ESD,0.439918,1.14244,0.0734887,0.793877,0.972063,1.00604,0.865372,1.02958
ESF1,0.548417,1.08514,0.663928,0.957286,0.751518,1.044,0.298948,1.15247
ESM1,0.708621,1.02687,0.843404,0.989707,0.148222,1.10911,0.193654,1.09738
ESPL1,0.127283,0.891765,0.308247,1.05778,0.531232,0.954474,0.615675,0.963357
ESPN,0.0501734,0.796914,0.240056,0.905404,0.0626996,0.806256,0.286653,0.885252
ESPNL,0.168266,0.879583,0.802153,1.01723,0.636939,0.95734,0.628271,0.956261
ESR1,0.140444,0.888483,0.254214,1.06957,0.834921,0.983593,0.989676,0.998974
ESR2,0.102163,0.902482,0.980337,1.00113,0.0758143,0.894291,0.255145,0.9315
ESRP1,0.436664,0.936636,0.607476,0.968628,0.253197,0.908022,0.681939,0.96617
ESRP2,0.145594,0.867338,0.415555,0.94328,0.387948,0.919548,0.576651,0.947316
ESRRA,0.467373,0.948659,0.871998,0.991428,0.281074,1.08157,0.740417,1.02427
ESRRB,0.386502,0.92983,0.422939,1.05095,0.997002,0.999685,0.933834,1.00697
ESRRG,0.129887,0.899966,0.359956,0.954356,0.198866,0.914727,0.287921,0.929104
ESX1,0.187625,0.919676,0.745458,1.01523,0.968075,0.997481,0.622631,1.03153
ESYT1,0.387905,1.0621,3.54E-16,0.5501,0.089824,0.887278,0.343955,0.936054
ESYT2,0.418921,1.07592,2.73E-06,0.705337,0.234077,0.897515,0.783802,0.975535
ESYT3,0.222245,0.907544,0.505766,1.03963,0.462598,0.94354,0.86606,0.986777
ETAA1,0.462493,1.07388,0.0071043,0.819289,0.501061,0.93684,0.474588,1.07182
ETF1,0.227041,1.12656,0.00401963,1.242,0.654251,1.04489,0.721148,1.0356
ETFA,0.722197,1.06849,0.412489,0.893085,0.763758,0.945548,0.866187,1.03188
ETFB,0.870291,0.969086,0.433722,0.894488,0.502718,1.13787,0.472503,1.14853
ETFDH,0.0705652,1.2236,0.00142306,1.31266,0.00237152,1.41811,0.114124,1.19202
ETHE1,0.935013,0.989545,0.0574836,0.831902,0.876112,1.0203,0.954125,0.992612
ETNK1,0.618251,1.09324,0.000442508,1.63689,0.717097,1.06693,0.993497,0.998545
ETNK2,0.15457,0.900121,0.000183786,0.805173,0.0904768,0.881927,0.699879,0.97216
ETNPPL,0.353721,0.953556,0.672804,0.984185,0.118266,1.08407,0.948507,1.0033
ETS1,0.8357,1.02641,3.92E-08,0.551883,0.19101,0.84732,0.913778,1.0137
ETS2,0.191019,0.846968,0.0141822,1.26491,0.396346,0.898329,0.90009,0.984308
ETV1,0.176946,0.929865,0.91366,1.00428,0.211893,0.93506,0.126382,1.08603
ETV3,0.579204,1.06584,0.310076,1.09035,0.983199,1.00242,0.845412,0.977859
ETV3L,0.153793,0.861365,0.809595,1.01861,0.54329,1.06512,0.73573,1.03561
ETV4,0.0322515,0.803471,0.637495,0.965786,0.830763,0.978865,0.29625,0.900389
ETV5,0.859061,0.951069,0.00282089,1.91751,0.875559,0.956721,0.944561,1.01984
ETV6,0.46874,1.07098,4.94E-08,1.55618,0.309496,1.10123,0.376714,0.919641
ETV7,0.84262,0.951031,3.83E-10,4.18107,0.181273,1.40629,0.874728,1.04067
EVA1A,0.13985,0.894376,0.421183,0.956395,0.549825,0.956171,0.664136,0.968008
EVA1B,0.558379,0.963006,0.0628493,1.09401,0.60854,1.03352,0.914499,1.00693
EVA1C,0.523347,0.949677,6.82E-09,0.663482,0.303314,0.91985,0.908984,0.990811
EVC,0.142789,0.884333,0.0264496,0.869896,0.164655,0.890091,0.096782,0.869612
EVC2,0.0618476,0.884336,0.497144,0.967998,0.295854,0.934251,0.341896,0.940093
EVI2A,0.158243,1.24811,0.827952,0.975335,0.267153,1.18964,0.921524,0.984791
EVI2B,0.330689,1.11835,0.000364788,0.725535,0.726928,1.04081,0.81115,0.973014
EVI5,0.159214,1.26096,0.0529113,1.26809,0.860547,0.971743,0.86921,0.973492
EVI5L,0.328584,0.92989,0.140814,0.921817,0.513927,0.952714,0.275338,0.921959
EVL,0.616984,1.05211,7.27E-09,0.597991,0.330094,0.905504,0.630691,0.952344
EVPL,0.153778,0.877128,0.286575,1.07468,0.629252,0.956965,0.867219,0.984897
EVX1,0.681857,0.962222,0.546556,1.04276,0.377778,0.920256,0.649913,0.95825
EWSAT1,0.836384,1.01174,0.66477,1.01826,0.989371,1.00075,0.955789,0.996873
EWSR1,0.34809,1.10494,0.51001,0.949673,0.17363,1.1565,0.377809,1.09829
EXD1,0.166427,0.897482,0.486709,0.96091,0.894335,0.989766,0.429494,1.06329
EXD2,0.25673,1.0941,0.978542,0.998436,0.0628876,1.16074,0.253335,1.09481
EXD3,0.042021,0.833812,0.522032,0.959347,0.589651,0.953789,0.750321,0.972496
EXO1,0.659553,1.02327,0.921024,1.00383,0.00207675,1.18328,3.53E-06,1.30925
EXO5,0.172233,0.899075,0.963015,1.00265,0.90483,0.990808,0.294052,0.921756
EXOC1,0.078902,1.19028,5.15E-09,1.65147,0.00789342,1.30808,0.329549,1.10038
EXOC2,0.274676,1.12915,0.0175295,1.22064,0.828246,1.02428,0.457903,1.08576
EXOC3,0.876633,1.01057,0.786635,0.986549,0.618544,1.03433,0.549728,1.04141
EXOC3-AS1,0.917587,0.990059,0.643187,0.967475,0.911954,1.01073,0.815889,0.977766
EXOC3L2,0.112024,0.836745,0.814075,0.980937,0.613505,0.945515,0.48704,0.925723
EXOC4,0.220033,1.11487,0.387917,0.945228,0.510502,0.94361,0.768806,1.02622
EXOC5,0.511576,1.06293,0.0314266,1.16278,0.924638,1.00882,0.808378,0.977742
EXOC6,0.159352,1.20914,1.99E-06,1.69166,0.178416,1.19895,0.85422,1.02487
EXOC7,0.919482,0.993934,0.000843519,1.16972,0.00523849,1.19076,0.895323,1.00795
EXOC8,0.314503,1.12452,0.00130331,1.33659,0.311102,1.12546,0.401691,1.10263
EXOG,0.943174,1.00442,0.540591,0.972391,0.347355,1.0601,0.0793391,1.11643
EXOSC1,0.471092,1.08074,0.0886668,0.871929,0.730638,1.03771,0.601324,1.05784
EXOSC10,0.0517321,1.10927,0.513399,1.02564,0.0284748,1.12453,0.45366,1.04011
EXOSC2,0.158003,1.11074,0.00284304,0.843966,0.680568,1.03082,0.209278,1.0977
EXOSC3,0.470807,1.07415,0.555961,1.04404,0.931453,1.00855,0.85326,0.981864
EXOSC4,0.800766,0.971065,0.329805,1.08774,0.274161,1.13648,0.508115,1.08019
EXOSC5,0.635238,1.06923,8.40E-05,0.642698,0.809698,1.03454,0.919178,0.985799
EXOSC6,0.0286099,0.862822,0.000295105,0.828762,0.118379,0.901171,0.384142,0.944103
EXOSC7,0.930017,0.984146,0.069625,0.780549,0.935473,0.985376,0.595533,1.10155
EXOSC8,0.429639,1.12871,0.00172577,0.689884,0.753369,0.953094,0.603325,1.08276
EXOSC9,0.416802,1.0905,0.5867,0.95814,0.76136,1.03284,0.388281,1.09646
EXPH5,0.555913,0.95158,0.228122,1.07833,0.61102,0.958059,0.874781,0.986827
EXT1,0.879729,0.97689,0.00945938,1.35804,0.336376,1.16091,0.929973,0.986514
EXT2,0.943059,1.00295,0.163764,0.958126,0.110583,0.935605,0.451534,0.969374
EXTL1,0.210216,0.86175,0.982452,0.998087,0.268986,0.87718,0.776433,0.967076
EXTL2,0.925003,1.0136,0.00541336,0.736202,0.972098,0.994992,0.08168,1.28867
EXTL3,0.562619,1.0368,0.489683,1.03239,0.63989,0.971232,0.462566,0.955132
EYA1,0.113901,0.882833,0.760368,0.982603,0.739809,0.974455,0.386266,0.934524
EYA2,0.0640982,0.841843,0.299639,0.932006,0.473466,0.936397,0.468606,0.935716
EYA3,0.403148,1.1109,0.0473349,1.20587,0.565095,1.07492,0.53187,1.0817
EYA4,0.128876,0.92265,0.473988,0.972592,0.3247,0.94945,0.367348,0.953664
EYS,0.247821,0.94222,0.340857,0.964493,0.50955,0.966747,0.733099,0.982693
EZH1,0.209539,1.21561,0.0271027,0.772507,0.539406,0.909431,0.951815,0.990713
EZH2,0.100343,1.10679,0.00119828,1.16594,0.016744,1.16174,2.68E-05,1.32229
EZR,0.0720167,1.13023,0.00696734,0.870796,0.170208,0.911451,0.266054,1.07783
F10,0.366823,0.910493,0.52188,1.05027,0.924463,0.990235,0.671006,0.956954
F11,0.208529,0.908077,0.357119,0.949367,0.895565,0.990061,0.557299,0.956259
F12,0.184393,0.875329,0.997761,0.999794,0.307193,0.902958,0.318863,0.905179
F13A1,0.888116,0.938829,0.000492738,0.293474,0.528927,0.753507,0.735178,0.859135
F13B,0.214456,0.940242,0.123671,0.94491,0.985864,1.00087,0.423406,1.04035
F2,0.0448716,0.83584,0.96685,0.997313,0.369653,0.924087,0.91988,1.00886
F2R,0.944422,0.986689,0.404571,0.888055,0.281138,0.811935,0.876308,0.970521
F2RL1,0.131287,1.15931,0.578382,1.04063,0.667343,0.95918,0.59803,0.950138
F2RL2,0.27359,0.942553,0.0832507,1.07223,0.173908,1.0765,0.931393,0.995385
F2RL3,0.111761,0.826633,0.484891,0.940686,0.85019,0.977908,0.328665,0.890431
F3,0.225482,0.895594,0.0107538,1.19203,0.569774,0.949879,0.722309,0.968391
F5,0.56179,1.15513,0.0410421,0.682394,0.956551,1.01361,0.64119,1.12274
F7,0.0345858,0.817394,0.502974,0.954769,0.331539,0.912953,0.504041,0.9394
F8,0.0304927,0.895751,0.429952,0.971341,0.514944,0.96807,0.263803,0.945622
F8A2,0.858272,0.982746,0.0149745,0.835063,0.812324,1.02341,0.773518,0.972335
F9,0.407632,0.948464,0.898905,0.994042,0.551641,0.962735,0.623144,0.969154
FA2H,0.0680431,0.846521,0.964058,0.997014,0.462714,0.935988,0.599957,0.953913
FAAH,0.64507,0.932277,0.220703,0.870611,0.901216,0.981298,0.831322,0.968118
FAAH2,0.991985,1.00144,0.828099,0.977322,0.69302,0.945071,0.593374,1.07946
FAAP100,0.480232,0.938168,0.0367656,0.867527,0.395973,0.926047,0.451769,0.934207
FAAP20,0.0945198,0.877268,0.0021,0.832059,0.527591,0.95228,0.562404,0.956165
FAAP20,0.150166,0.8841,0.0960965,1.11135,0.739907,0.972242,0.317046,1.08895
FAAP24,0.0429607,0.86691,0.278618,0.945862,0.866689,0.988455,0.8155,0.983987
FABP1,0.0209221,0.746371,0.0157907,0.797432,0.235411,0.862917,0.156235,0.838033
FABP2,0.143972,0.868629,0.0194218,0.844401,0.543812,0.943638,0.954459,1.00546
FABP3,0.130695,0.777073,0.121847,1.21019,0.487303,0.89145,0.383774,0.865651
FABP4,0.813993,1.0205,0.3984,1.05546,0.484937,1.06223,0.873972,1.01378
FABP6,0.554362,0.942319,0.980583,1.0018,0.81684,1.02351,0.825044,1.02243
FABP7,0.0603547,0.813711,0.701925,0.969943,0.452882,0.922005,0.822881,1.02445
FABP9,0.736174,0.982009,0.824454,0.991214,0.833293,0.988726,0.497974,0.964083
FADD,0.726332,0.96797,0.00132341,1.26101,0.600638,1.04993,0.316515,1.09808
FADS1,0.566533,1.10999,0.423348,1.11384,0.309455,1.20403,0.829363,1.03996
FADS2,0.831006,1.01863,0.044304,0.877209,0.241594,1.10732,0.0146771,1.24267
FADS2,0.881726,0.971236,0.530877,1.09522,0.244851,1.2581,0.946349,0.986888
FADS3,0.865389,0.985038,0.107316,1.11304,0.352979,0.92041,0.566624,0.950247
FADS6,0.10832,0.87548,0.114604,0.908044,0.397537,0.932925,0.158531,0.890088
FAF1,0.27824,1.12058,0.22094,0.909314,0.828519,1.02288,0.818782,1.02421
FAF2,0.121418,1.22678,0.0151746,1.27221,0.927227,0.988157,0.335022,1.13464
FAH,0.435681,0.915979,0.118379,0.877207,0.461847,0.920521,0.54335,0.933937
FAHD1,0.648589,1.08618,0.113725,0.807116,0.833341,0.962577,0.883289,0.973744
FAHD2A,0.254221,0.837808,0.0184301,0.758917,0.133213,0.791246,0.51661,0.904622
FAIM,0.0943317,1.21636,0.119045,0.874121,0.626316,1.05791,0.23264,1.1489
FAIM2,0.0625814,0.826583,0.475495,0.948259,0.114748,0.851684,0.700934,0.962088
FAM101A,0.0289341,0.811861,0.639076,0.968194,0.293122,0.90617,0.196253,0.885637
FAM102A,0.661416,1.05668,7.76E-08,0.56122,0.178983,0.843245,0.418287,0.902927
FAM104A,0.107116,1.10593,0.113497,0.929591,0.852575,0.988597,0.204567,1.08209
FAM104B,0.637676,1.03846,2.13E-09,0.653538,0.0747984,0.865163,0.482411,0.945198
FAM105A,0.138507,1.17468,0.985466,1.00145,0.379889,1.09941,0.345566,1.10723
FAM106A,0.0738672,0.782348,0.367349,0.913594,0.97153,0.995186,0.851595,0.975019
FAM107A,0.905882,1.01646,0.428818,1.08431,0.961715,0.993393,0.755615,0.957908
FAM107B,0.180761,1.13746,7.89E-06,0.706198,0.0921336,0.849674,0.735504,1.03277
FAM109A,0.797135,0.975699,0.151756,1.10771,0.794993,1.02518,0.8769,0.985288
FAM110A,0.76244,0.956463,0.109982,0.838685,0.168477,1.22701,0.226357,0.835818
FAM110B,0.569568,0.920031,0.287735,1.12246,0.861689,1.02583,0.786772,0.961176
FAM110D,0.116902,0.849077,0.669877,0.96803,0.924141,1.00987,0.461173,0.926649
FAM111A,0.476876,1.08656,0.0243369,1.21954,0.961892,1.00558,0.754994,0.964304
FAM111B,0.118458,1.32111,0.271875,1.15474,0.158583,1.28519,0.0477331,1.42715
FAM114A1,0.0759658,1.20903,8.30E-06,1.46666,0.261824,1.12628,0.632439,1.05173
FAM114A2,0.239108,1.15635,0.0767245,1.17668,0.749195,1.03998,0.320328,1.1302
FAM117A,0.807372,0.977587,6.55E-08,0.650448,0.251385,0.898264,0.56096,0.94731
FAM117B,0.224541,1.15058,0.00142366,0.752763,0.919807,1.01161,0.542983,0.932511
FAM118A,0.73015,1.05196,0.295082,0.892156,0.662023,1.06633,0.932769,1.01246
FAM118B,0.157171,1.15428,0.110814,1.12722,0.0868716,1.19058,0.762959,1.03077
FAM120A,0.541167,1.04772,0.527648,0.965038,0.935261,1.0062,0.372871,0.934152
FAM120AOS,0.549786,0.968984,0.627868,1.01903,0.0653317,0.90616,0.257459,0.941835
FAM120B,0.108157,1.10978,0.42612,1.03847,0.552871,1.03879,0.382297,1.05775
FAM122A,0.118925,1.12909,0.116714,1.09442,0.506739,1.05253,0.38303,1.06969
FAM122B,0.536804,1.07654,0.233399,0.899761,0.849677,0.977659,0.774974,1.03468
FAM122C,0.639402,0.947445,0.00539935,1.27847,0.324718,0.892359,0.906163,0.986523
FAM124A,0.0784534,0.862712,0.297911,1.06597,0.945905,0.994407,0.912904,0.990999
FAM124B,0.828681,0.979739,0.00785163,0.825124,0.0644415,0.837099,0.991134,0.99895
FAM126A,0.267662,1.19545,0.110428,1.21058,0.848674,0.969908,0.833987,0.966995
FAM126B,0.150804,1.14515,0.000166841,1.32124,0.159206,1.14197,0.36456,1.08874
FAM127A,0.627632,1.20793,0.766624,0.918232,0.677616,1.17569,0.898227,1.05102
FAM127B,0.872828,1.01638,0.111641,1.1283,0.335331,1.1032,0.457436,0.927175
FAM129A,0.745733,1.03773,0.00383659,1.28911,0.941552,1.0084,0.850908,1.02169
FAM129B,0.890284,1.01838,6.10E-06,1.63007,0.846139,1.02596,0.55585,0.925053
FAM129C,0.58595,0.952156,4.30E-11,0.577987,0.000334651,0.709249,0.28303,0.907534
FAM131A,0.425615,0.951831,0.18277,1.06323,0.401197,1.05341,0.429326,0.95221
FAM131B,0.388868,0.928701,0.548426,0.962736,0.303452,0.915328,0.615617,0.957915
FAM131C,0.37056,0.897761,0.308952,0.913375,0.080738,0.808424,0.401656,0.903963
FAM133A,0.0186063,0.894682,0.159327,0.952846,0.420584,0.963496,0.2587,0.949036
FAM133B,0.538474,0.946257,0.633799,0.96892,0.890181,0.987698,0.983416,1.00187
FAM134A,0.847458,1.01195,0.00446105,0.873807,0.909848,1.00701,0.379229,0.946971
FAM134B,0.662882,1.05048,1.10E-07,0.600164,0.0574675,0.803941,0.792181,1.0302
FAM134C,0.663346,0.96998,0.0174856,0.881426,0.862487,1.01219,0.921972,0.993171
FAM135A,0.546525,1.05613,7.43E-05,1.3311,0.549249,0.947209,0.771939,1.02656
FAM135B,0.142391,0.894002,0.863426,1.00965,0.657891,0.967052,0.763512,0.977505
FAM136A,0.0317243,0.722105,0.0128249,0.755192,0.290148,0.854167,0.218803,0.83227
FAM13A,0.618576,1.07026,0.00374315,0.737902,0.31929,1.14604,0.238972,1.17526
FAM13A,0.691668,0.963349,0.732419,1.02405,0.472241,0.93445,0.736856,0.968866
FAM13B,0.181487,1.17818,0.165709,1.13395,0.519156,0.924425,0.591798,1.06751
FAM13C,0.0670984,0.864635,0.444894,0.956746,0.957276,1.0042,0.510259,0.949743
FAM149B1,0.104138,1.10274,0.247599,1.05239,0.516408,1.03939,0.227956,1.0748
FAM150A,0.402337,0.924268,0.551163,0.959517,0.451191,0.931643,0.0886886,0.850602
FAM150B,0.0729887,0.845375,0.0272947,0.857291,0.780254,0.974587,0.318971,0.911776
FAM151A,0.482454,0.937712,0.529306,1.04344,0.827419,0.980278,0.951697,1.00555
FAM151B,0.92323,1.01573,0.363423,1.11532,0.488074,1.11913,0.636201,0.926179
FAM153A,0.291504,0.8846,0.845795,0.983527,0.904988,1.0139,0.0846006,1.22422
FAM153C,0.287666,0.843128,0.602085,0.940313,0.989978,1.00201,0.176297,0.804323
FAM155B,0.0982154,0.846006,0.908296,1.00853,0.67262,0.958673,0.573551,0.945299
FAM156B,0.0164682,1.31633,0.352918,1.07979,0.696017,1.04453,0.708446,0.959164
FAM159A,0.837884,1.01727,1.66E-08,0.663551,0.0350941,0.835127,0.390144,0.930384
FAM160A2,0.170211,0.880777,8.03E-05,0.749317,0.573193,0.949566,0.175786,0.882245
FAM160B1,0.585051,1.0823,0.0021442,1.40979,0.817702,0.967203,0.919064,1.01481
FAM160B2,0.489046,0.967619,0.246138,1.04178,0.348281,0.956271,0.346156,0.956081
FAM161B,0.814865,0.984527,0.168775,0.933986,0.990527,0.99921,0.421993,0.947784
FAM162A,0.492784,1.1285,0.00713568,0.696245,0.713743,1.06668,0.790273,1.0479
FAM163A,0.45609,0.937053,0.405796,1.05506,0.579587,0.952878,0.765106,0.97433
FAM166A,0.385508,0.909015,0.609488,0.959473,0.651299,0.951658,0.992523,1.00103
FAM167A,0.105408,0.838458,0.0221092,0.830034,0.387654,0.911059,0.126487,0.847007
FAM167A-AS1,0.0350783,0.852172,0.260354,0.939764,0.886655,1.01064,0.722709,0.973972
FAM167B,0.802168,0.968484,0.2667,1.11121,0.872212,1.02077,0.664964,0.946119
FAM168A,0.864138,1.01215,0.773581,1.01511,0.813391,0.983474,0.900169,0.991185
FAM168B,0.978595,1.0019,5.20E-08,0.718483,0.0528289,0.869796,0.762224,0.978816
FAM169B,0.223136,0.898673,0.839738,0.987077,0.478178,0.939974,0.803658,0.97858
FAM170A,0.14936,0.881515,0.213431,1.08347,0.702893,1.0336,0.731546,1.03017
FAM171A2,0.144393,0.867641,0.759183,0.978431,0.523132,0.940268,0.511057,0.938569
FAM171B,0.52384,0.960973,0.275985,0.950814,0.965208,0.997285,0.865056,1.01065
FAM172A,0.0811231,1.23319,0.000708897,0.730994,0.0880319,0.814755,0.503026,1.08272
FAM173A,0.316873,0.856432,0.416038,0.911326,0.904003,1.01876,0.88566,0.978084
FAM173B,0.245201,1.21138,0.0620904,0.794737,0.16326,0.793958,0.577235,1.09584
FAM174A,0.68566,1.06473,0.41072,1.09898,0.615946,1.08087,0.38009,1.14616
FAM174B,0.0736743,0.764337,0.0737867,0.82004,0.255402,0.844252,0.329848,0.865186
FAM174B,0.218207,0.881256,0.881802,0.988871,0.827723,0.978062,0.579749,0.945052
FAM175A,0.558204,1.05577,0.0291772,0.85851,0.574684,0.949324,0.715747,1.03429
FAM175B,0.0827833,1.18791,0.000731764,1.2945,0.198065,1.13533,0.0605887,1.20531
FAM177A1,0.95243,1.00919,0.207865,1.15464,0.613423,0.925343,0.896652,1.02013
FAM177B,0.827201,0.978328,0.0566622,0.866085,0.384514,0.916143,0.872781,1.0162
FAM178B,0.781271,1.02802,0.829817,1.01592,0.373105,0.914901,0.511294,1.06766
FAM179A,0.0286411,0.834758,0.140492,0.915121,0.723521,0.971865,0.740713,0.97366
FAM179B,0.531517,1.08096,0.331371,1.09363,0.700448,1.04897,0.80474,1.03119
FAM180A,0.208623,0.873687,0.859288,0.986141,0.0691669,0.821339,0.110016,0.841604
FAM181A,0.103386,0.849895,0.417265,0.942472,0.224027,0.886274,0.226854,0.886934
FAM181B,0.0232903,0.787354,0.111101,0.884769,0.253565,0.888627,0.210747,0.87845
FAM182A,0.0219719,0.609011,0.511059,1.10808,0.559579,0.883987,0.503389,0.868056
FAM184A,0.90676,1.00738,0.176792,0.938793,0.941499,0.995405,0.488916,1.04449
FAM186B,0.206759,0.884145,0.89921,1.00909,0.767142,1.02908,0.591491,0.949319
FAM187B,0.534842,0.934396,0.905273,0.990454,0.62617,0.948171,0.444045,0.91965
FAM188A,0.516617,1.13313,0.199785,1.2015,0.733613,0.936613,0.818477,1.04514
FAM188B,0.640306,0.970121,0.366873,0.957539,0.109124,0.90014,0.591086,0.965711
FAM189A2,0.90761,1.00754,0.148525,1.07228,0.462599,1.04884,0.34135,1.06383
FAM189B,0.316204,0.93423,0.0709748,0.912544,0.773633,0.980752,0.286187,0.930122
FAM192A,0.731282,1.03276,0.164225,1.10216,0.235235,1.11863,0.462327,1.07157
FAM193A,0.24824,1.09063,0.00150496,0.832035,0.951292,0.99545,0.44354,1.05904
FAM195A,0.189208,0.88746,0.527345,0.9587,0.235011,0.897784,0.279403,0.906561
FAM195B,0.262992,0.920159,0.0183246,0.876099,0.186242,0.906202,0.0754986,0.875148
FAM198A,0.251158,0.894794,0.946536,0.995244,0.560419,0.945414,0.748889,0.969644
FAM198B,0.330462,1.27239,0.0136615,1.58776,0.404597,1.22882,0.670706,1.11055
FAM199X,0.796566,1.01957,0.32423,1.05652,0.664679,0.967918,0.564124,1.04437
FAM19A1,0.145458,1.16608,0.00010641,0.724595,0.896351,1.0137,0.417481,1.08868
FAM19A2,0.294831,0.886682,0.124117,0.87705,0.395967,0.907307,0.742443,1.03826
FAM19A3,0.044834,0.804354,0.178908,0.898915,0.378013,0.910135,0.854346,0.980652
FAM19A4,0.662057,0.962357,0.612879,1.03336,0.563609,1.05204,0.546602,1.0544
FAM19A5,0.151792,0.880605,0.910839,0.992762,0.234162,0.900132,0.341333,0.919484
FAM200A,0.0348309,1.38342,0.288876,1.12583,0.439356,1.12379,0.231142,1.19897
FAM204A,0.321314,1.10378,0.0615581,0.870086,0.805565,0.975897,0.118594,1.1694
FAM206A,0.580304,0.944905,0.107499,0.884092,0.492659,0.932046,0.996926,0.999606
